,Dif PTOS,Dif POS,Dif FORMA,Dif PTS L/V,Dif G AF,Dif G EC
Empate,0.0018865653122662799,0.10175181981567197,-0.021881272374479066,0.22939853707533925,-0.27357819164958813,0.061840342084753426
Local,0.5113565645736234,0.2405876053519362,-0.012627025563698572,-0.19838855341362704,0.45633357018788373,-0.2197544833129692
Visitante,-0.5642177000946039,-0.32370633863158693,0.03834325060920362,0.06249159777147225,-0.3423474036842933,0.22240829869881246
